05, 20, 16, 149.6
05, 21, 16, 50
05, 22, 16, 141
05, 23, 16, 0
05, 24, 16, 0
05, 25, 16, 166
05, 26, 16, 122
05, 27, 16, 0
05, 28, 16, 0
05, 29, 16, 0
05, 30, 16, 96.8
05, 31, 16, 234
06, 01, 16, 194
06, 02, 16, 168
06, 03, 16, 0
06, 04, 16, 0
06, 05, 16, 0
06, 06, 16, 0
06, 07, 16, 169
06, 08, 16, 124
06, 09, 16, 104
06, 10, 16, 0
06, 11, 16, 0
06, 12, 16, 0
06, 13, 16, 0
06, 14, 16, 0
06, 15, 16, 44.4
06, 16, 16, 106
06, 17, 16, 52.7
06, 18, 16, 266
06, 19, 16, 92.6
06, 20, 16, 0
06, 21, 16, 0
06, 22, 16, 240
06, 23, 16, 0
06, 24, 16, 329.5
06, 25, 16, 225
06, 26, 16, 123.4
06, 27, 16, 0
06, 28, 16, 149.5
06, 29, 16, 42
06, 30, 16, 252
07, 01, 16, 21.9
07, 02, 16, 63.7
07, 03, 16, 0
07, 04, 16, 0
07, 05, 16, 158
07, 06, 16, 329
07, 07, 16, 68.4
07, 08, 16, 0
07, 09, 16, 0
07, 10, 16, 76.3
07, 11, 16, 107
07, 12, 16, 66.4
07, 13, 16, 0
07, 14, 16, 110
07, 15, 16, 96.8
07, 16, 16, 0
07, 17, 16, 0
07, 18, 16, 167
07, 19, 16, 178
07, 20, 16, 104
07, 21, 16, 0
07, 22, 16, 0
07, 23, 16, 201
07, 24, 16, 0
07, 25, 16, 0
07, 26, 16, 0
07, 27, 16, 0
07, 28, 16, 117
07, 29, 16, 0
07, 30, 16, 0
07, 31, 16, 95.2
08, 01, 16, 98.5
08, 02, 16, 98.5
08, 03, 16, 98.5
08, 04, 16, 98.5
08, 05, 16, 200
08, 06, 16, 98.5
08, 07, 16, 98.5
08, 08, 16, 98.5
08, 09, 16, 140
08, 10, 16, 98.5
08, 11, 16, 81.7
08, 12, 16, 0
08, 13, 16, 0
08, 14, 16, 177.8
08, 15, 16, 0
08, 16, 16, 103.27
08, 17, 16, 131.1
08, 18, 16, 0
08, 19, 16, 0
08, 20, 16, 246
08, 21, 16, 101
08, 22, 16, 0
08, 23, 16, 107
08, 24, 16, 106
08, 25, 16, 129
08, 26, 16, 0
08, 27, 16, 101.1
08, 28, 16, 196.4
08, 30, 16, 144
08, 31, 16, 0
09, 01, 16, 115
09, 02, 16, 91
09, 03, 16, 150
09, 04, 16, 0
09, 05, 16, 55.7
09, 06, 16, 54.9
09, 07, 16, 0
09, 08, 16, 0
09, 09, 16, 153
09, 10, 16, 0
09, 11, 16, 196
09, 12, 16, 93.8
09, 13, 16, 124
09, 14, 16, 76.7
09, 15, 16, 118
09, 16, 16, 74.5
09, 17, 16, 0
09, 18, 16, 0
09, 19, 16, 0
09, 20, 16, 84.3
09, 20, 16, 0
09, 21, 16, 0
